schema	term	status	dats_key_description	sdo_id	sdo_type	sdo_prop_description	sdo_prop_domain	sdo_prop_range	remapped_from
dataset_distribution_schema.json	formats	Annotated	The technical format of the dataset distribution. Use the file extension or MIME type when possible. (Definition adapted from DataCite)	sdo:encodingFormat	sdo:Text	"Media type typically expressed using a MIME format (see <a href=""http://www.iana.org/assignments/media-types/media-types.xhtml"">IANA site</a> and <a href=""https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types"">MDN reference</a>) e.g. application/zip for a SoftwareApplication binary, audio/mpeg for .mp3 etc.).<br/><br/>  In cases where a <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a> has several media type representations, <a class=""localLink"" href=""/encoding"">encoding</a> can be used to indicate each <a class=""localLink"" href=""/MediaObject"">MediaObject</a> alongside particular <a class=""localLink"" href=""/encodingFormat"">encodingFormat</a> information.<br/><br/>  Unregistered or niche encoding and file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia/Wikidata entry."	http://schema.org/CreativeWork, http://schema.org/MediaObject	http://schema.org/Text, http://schema.org/URL	
dataset_distribution_schema.json	unit	Annotated	The unit of measurement used to estimate the size of the dataset (e.g, petabyte). Ideally, the unit should be coming from a reference controlled terminology.	sdo:unitText	sdo:Text	A string or text indicating the unit of measurement. Useful if you cannot provide a standard unit code for <a href='unitCode'>unitCode</a>.	http://schema.org/PropertyValue, http://schema.org/QuantitativeValue, http://schema.org/TypeAndQuantityNode, http://schema.org/UnitPriceSpecification	http://schema.org/Text	
dataset_distribution_schema.json	extraProperties	Annotated	Extra properties that do not fit in the previous specified attributes. 	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
dataset_schema.json	types	Annotated	A term, ideally from a controlled terminology, identifying the dataset type or nature of the data, placing it in a typology	sdo:identifier	sdo:Thing	"The identifier property represents any kind of identifier for any kind of <a class=""localLink"" href=""/Thing"">Thing</a>, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See <a href=""/docs/datamodel.html#identifierBg"">background notes</a> for more details."	http://schema.org/Thing	http://schema.org/PropertyValue, http://schema.org/Text, http://schema.org/URL	
dataset_schema.json	availability	Annotated	A qualifier indicating the different types of availability for a dataset (available, unavailable, embargoed, available with restriction, information not available).	sdo:conditionsOfAccess	sdo:Text	"Conditions that affect the availability of, or method(s) of access to, an item. Typically used for real world items such as an <a class=""localLink"" href=""/ArchiveComponent"">ArchiveComponent</a> held by an <a class=""localLink"" href=""/ArchiveOrganization"">ArchiveOrganization</a>. This property is not suitable for use as a general Web access control mechanism. It is expressed only in natural language.<br/><br/>  For example ""Available by appointment from the Reading Room"" or ""Accessible only from logged-in accounts ""."	http://schema.org/CreativeWork	http://schema.org/Text	
dataset_schema.json	refinement	Annotated	A qualifier to describe the level of data processing of the dataset and its distributions.	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
dataset_schema.json	aggregation	Annotated	A qualifier indicating if the entity represents an 'instance of dataset' or a 'collection of datasets'.	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
dataset_schema.json	privacy	Annotated	A qualifier to describe the data protection applied to the dataset. This is relevant for clinical data.	sdo:conditionsOfAccess	sdo:Text	"Conditions that affect the availability of, or method(s) of access to, an item. Typically used for real world items such as an <a class=""localLink"" href=""/ArchiveComponent"">ArchiveComponent</a> held by an <a class=""localLink"" href=""/ArchiveOrganization"">ArchiveOrganization</a>. This property is not suitable for use as a general Web access control mechanism. It is expressed only in natural language.<br/><br/>  For example ""Available by appointment from the Reading Room"" or ""Accessible only from logged-in accounts ""."	http://schema.org/CreativeWork	http://schema.org/Text	
dataset_schema.json	citationCount	Annotated	The number of publications that cite this dataset (enumerated in the citations property)	sdo:value	sdo:Number	"The value of the quantitative value or property value node.<br/><br/>  <ul> <li>For <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a> and <a class=""localLink"" href=""/MonetaryAmount"">MonetaryAmount</a>, the recommended type for values is 'Number'.</li> <li>For <a class=""localLink"" href=""/PropertyValue"">PropertyValue</a>, it can be 'Text;', 'Number', 'Boolean', or 'StructuredValue'.</li> <li>Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similiar Unicode symbols.</li> <li>Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.</li> </ul>"	http://schema.org/MonetaryAmount, http://schema.org/PropertyValue, http://schema.org/QuantitativeValue	http://schema.org/Boolean, http://schema.org/Number, http://schema.org/StructuredValue, http://schema.org/Text	
dataset_schema.json	keywords	Annotated	Tags associated with the dataset, which will help in its discovery.	sdo:keywords	sdo:Thing	Keywords or tags used to describe this content. Multiple entries in a keywords list are typically delimited by commas.	http://schema.org/CreativeWork	http://schema.org/DefinedTerm, http://schema.org/Text, http://schema.org/URL	
dataset_schema.json	extraProperties	Annotated	Extra properties that do not fit in the previous specified attributes. 	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
dimension_schema.json	types	Annotated	A term, ideally from a controlled terminology, identifying the nature of the dimension, placing it in a typology.	sdo:identifier	sdo:Thing	"The identifier property represents any kind of identifier for any kind of <a class=""localLink"" href=""/Thing"">Thing</a>, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See <a href=""/docs/datamodel.html#identifierBg"">background notes</a> for more details."	http://schema.org/Thing	http://schema.org/PropertyValue, http://schema.org/Text, http://schema.org/URL	
dimension_schema.json	datatype	Annotated	The type of data for this dimension, as described with the DataType entity.	sdo:measuredValue	sdo:DataType	"The measuredValue of an <a class=""localLink"" href=""/Observation"">Observation</a>."	http://schema.org/Observation	http://schema.org/DataType	
dimension_schema.json	values	Annotated	The actual collections of values collected for that dimension.	sdo:additionalProperty	sdo:Thing	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
dimension_schema.json	unit	Annotated	A reference measurement unit associated with scalar dimensions, ideally from a reference controlled terminology.	sdo:unitText	sdo:Text	A string or text indicating the unit of measurement. Useful if you cannot provide a standard unit code for <a href='unitCode'>unitCode</a>.	http://schema.org/PropertyValue, http://schema.org/QuantitativeValue, http://schema.org/TypeAndQuantityNode, http://schema.org/UnitPriceSpecification	http://schema.org/Text	
dimension_schema.json	consentInformation	Annotated	The consent information related to this dimennsion.	sdo:permissionType	sdo:DigitalDocumentPermissionType	The type of permission granted the person, organization, or audience.	http://schema.org/DigitalDocumentPermission	http://schema.org/DigitalDocumentPermissionType	
dimension_schema.json	partOf	Annotated	The dataset(s) this dimension belongs to.	sdo:isPartOf	sdo:Thing	Indicates an item or CreativeWork that this item, or CreativeWork (in some sense), is part of.	http://schema.org/CreativeWork	http://schema.org/CreativeWork, http://schema.org/URL	
dimension_schema.json	extraProperties	Annotated	Extra properties that do not fit in the previous specified attributes. 	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
disease_schema.json	diseaseStatus	Annotated	A value (and ideally also an ontology annotation provided as a valueIRI) for the disease status.	sdo:healthCondition	sdo:MedicalCondition	Specifying the health condition(s) of a patient, medical study, or other target audience.	http://schema.org/MedicalStudy, http://schema.org/Patient, http://schema.org/PeopleAudience	http://schema.org/MedicalCondition	
disease_schema.json	extraProperties	Annotated	Extra properties that do not fit in the previous specified attributes. 	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
grant_schema.json	funds	Annotated	The study or dataset supported by the grant.	sdo:fundedItem	sdo:Thing	"Indicates an item funded or sponsored through a <a class=""localLink"" href=""/Grant"">Grant</a>."	http://schema.org/Grant	http://schema.org/Thing	
grant_schema.json	funders	Annotated	The person(s) or organization(s) which has awarded the funds supporting the project.	sdo:funder	sdo:Thing	A person or organization that supports (sponsors) something through some kind of financial contribution.	http://schema.org/CreativeWork, http://schema.org/Event, http://schema.org/MonetaryGrant, http://schema.org/Organization, http://schema.org/Person	http://schema.org/Organization, http://schema.org/Person	
grant_schema.json	awardees	Annotated	The person(s) or organization(s) which received the funds supporting the project.	sdo:endorsee	sdo:Thing	A sub property of participant. The person/organization being supported.	http://schema.org/EndorseAction	http://schema.org/Organization, http://schema.org/Person	
grant_schema.json	extraProperties	Annotated	Extra properties that do not fit in the previous specified attributes. 	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
instrument_schema.json	isUsedBy	Annotated	The data acquisition activity that makes use of this instrument.	sdo:workExample	sdo:Thing	Example/instance/realization/derivation of the concept of this creative work. eg. The paperback edition, first edition, or eBook.	http://schema.org/CreativeWork	http://schema.org/CreativeWork	
instrument_schema.json	manufacturer	Annotated	The person or organisation that produced the instrument.	sdo:manufacturer	sdo:Organization	The manufacturer of the product.	http://schema.org/DietarySupplement, http://schema.org/Drug, http://schema.org/Product	http://schema.org/Organization	
instrument_schema.json	extraProperties	Annotated	Extra properties that do not fit in the previous specified attributes. 	sdo:additionalProperty	sdo:PropertyValue	A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>  Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.	http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue	http://schema.org/PropertyValue	
license_schema.json	licensingAuthority	Annotated	The person(s) or organization(s) responsible for granting access to the data by approving the license.	sdo:authenticator	sdo:Organization	The Organization responsible for authenticating the user's subscription. For example, many media apps require a cable/satellite provider to authenticate your subscription before playing media.	http://schema.org/MediaSubscription	http://schema.org/Organization	
license_schema.json	consentInformation	Annotated	Types of consent given by study participant extracted from the terms of use documents. Ideally specified from a controlled vocabulary or ontology, such as GA4GH Data Use Ontology (DUO: http://www.obofoundry.org/ontology/duo.html) or ADA-M matrix (https://github.com/ga4gh/ADA-M).	sdo:permissionType	sdo:DigitalDocumentPermissionType	The type of permission granted the person, organization, or audience.	http://schema.org/DigitalDocumentPermission	http://schema.org/DigitalDocumentPermissionType	
license_schema.json	dataUseConditions	Annotated	Types of data use conditions extracted from the license documents. Data Use Conditions may refer to restrictions, prohibition, research topics as granted by the dataset, dimension, software license. Ideally specified from a controlled vocabulary or ontology, such as GA4GH Data Use Ontology (DUO: http://www.obofoundry.org/ontology/duo.html) or ADA-M matrix (https://github.com/ga4gh/ADA-M).	sdo:conditionsOfAccess	sdo:Text	"Conditions that affect the availability of, or method(s) of access to, an item. Typically used for real world items such as an <a class=""localLink"" href=""/ArchiveComponent"">ArchiveComponent</a> held by an <a class=""localLink"" href=""/ArchiveOrganization"">ArchiveOrganization</a>. This property is not suitable for use as a general Web access control mechanism. It is expressed only in natural language.<br/><br/>  For example ""Available by appointment from the Reading Room"" or ""Accessible only from logged-in accounts ""."	http://schema.org/CreativeWork	http://schema.org/Text	
